id,longitude,latitude,service_time,station_name,station_type
104,12.645167,49.206392,0,"Cham, Altenmarkt, Ortsmitte",SYSTEM
105,12.724338,49.243515,0,Kothmaissling Zimmerei,SYSTEM
106,12.724357,49.24364,0,Kothmaissling Zimmerei,SYSTEM
107,12.684708,49.229728,0,"Cham, Abzw. Sonnenhang",SYSTEM
108,12.684668,49.22969,0,"Cham, Abzw. Sonnenhang",SYSTEM
109,12.629847,49.210583,0,"Michelsd.,Dr.Valentin-Koch-Str",SYSTEM
110,12.63794,49.218293,0,"Michelsdorf, Feuerwehrhaus",SYSTEM
111,12.706825,49.235137,0,Windischbergerdorf Abzweigung Schneiderb.,SYSTEM
112,12.639393,49.206595,0,"Cham, Altenmarkt, Kindergarten",SYSTEM
113,12.581403,49.213067,0,Untertraubenbach Ort,SYSTEM
114,12.581285,49.213168,0,Untertraubenbach Ort,SYSTEM
115,12.607417,49.200383,0,Ried am Pfahl,SYSTEM
116,12.708357,49.230893,0,"Kammerdorf,  Abzweigung Kammerdorfer strasse",SYSTEM
117,12.711687,49.232445,0,Windischbergerdorf Hofäckerstrasse Abzweigung,SYSTEM
119,12.58382,49.211333,0,Untertraubenbach Schule,SYSTEM
120,12.66739,49.20723,0,"Cham, Janahof",SYSTEM
121,12.66739,49.20723,0,"Cham, Janahof",SYSTEM
122,12.65989,49.202442,0,"Cham, Altenmarkt, Nowack",SYSTEM
123,12.712452,49.235368,0,Windischbergerdorf Feuerwehrhaus,SYSTEM
124,12.636395,49.215737,0,"Cham, Michelsdorf, Ringstr.",SYSTEM
125,12.632352,49.215152,0,"Cham, Michelsdorf, Martinstr.",SYSTEM
126,12.633987,49.214535,0,"Cham, Michelsdorf, Martinstr.",SYSTEM
127,12.658508,49.202608,0,"Cham, Altenmarkt, Kaufland",SYSTEM
130,12.628607,49.207482,0,"Cham, Altenmarkt, MAN",SYSTEM
131,12.668802,49.224892,0,"Cham, Busbahnhof Jahnstr.",SYSTEM
132,12.664265,49.222822,0,"Cham, Arbeitsamtstr./Friedhof",SYSTEM
133,12.713845,49.252255,0,Schlammering,SYSTEM
134,12.695462,49.236547,0,Buchbergsiedlung,SYSTEM
135,12.696008,49.236437,0,Buchbergsiedlung,SYSTEM
136,12.711803,49.237552,0,Windischbergerdorf Dorfbrunnen,SYSTEM
137,12.733517,49.243225,0,Kothmaissling Metzgerei,SYSTEM
138,12.733338,49.243248,0,Kothmaissling Metzgerei,SYSTEM
139,12.707428,49.23624,0,Blasini,SYSTEM
140,12.708078,49.236767,0,Blasini,SYSTEM
141,12.695147,49.211077,0,Chammünster Kirche,SYSTEM
142,12.694117,49.21094,0,Chammünster Kirche,SYSTEM
143,12.709002,49.211695,0,Chameregg,SYSTEM
144,12.70805,49.211677,0,Chameregg,SYSTEM
145,12.70046,49.211645,0,Chammünster Siedlung,SYSTEM
146,12.700473,49.211728,0,Chammünster Siedlung,SYSTEM
149,12.673158,49.184235,0,Sandhölzl,SYSTEM
150,12.672352,49.199555,0,"Cham, Gutmaning Abzw.",SYSTEM
151,12.672257,49.199517,0,"Cham, Gutmaning Abzw.",SYSTEM
152,12.734907,49.239663,0,Kothmaissling Abzweigung Raindorf,SYSTEM
154,12.660378,49.228585,0,"Cham, Abzw. Katzberger Str.",SYSTEM
155,12.65796,49.233552,0,"Cham, Katzberg, Dorfplatz",SYSTEM
156,12.653815,49.234907,0,Katzberg Höhenw. Abzw. Leitenw,SYSTEM
157,12.65117,49.236223,0,"Katzberg, Höhenweg, Anw. Blaha",SYSTEM
158,12.647525,49.238222,0,"Katzbach, Ziegeleiweg",SYSTEM
159,12.64535,49.235653,0,"Katzbach, Abzw. Alter Schulweg",SYSTEM
160,12.636973,49.233637,0,"Loibling, Kindergarten",SYSTEM
161,12.632645,49.234395,0,Loibling Ulmenstrasse,SYSTEM
162,12.648778,49.205597,0,"Altenmarkt, Feuerwehrhaus",SYSTEM
164,12.63945,49.23787,0,"Katzbach, Abzw. Birkenweg",SYSTEM
166,12.739153,49.185368,0,Abzweigung Staning,SYSTEM
167,12.739,49.185572,0,Abzweigung Staning,SYSTEM
168,12.73029,49.193458,0,Hörwalting,SYSTEM
169,12.730572,49.193303,0,Hörwalting,SYSTEM
170,12.73105,49.206325,0,Wölsting,SYSTEM
171,12.73145,49.206382,0,Wölsting,SYSTEM
172,12.72885,49.183965,0,"Staning,  Ortsmitte",SYSTEM
173,12.71162,49.23784,0,Windischbergerdorf Kurklinik,SYSTEM
174,12.589435,49.20731,0,"Abzweigung Wulting , Thierlstein",SYSTEM
175,12.661423,49.223633,0,"Cham, Grundschule",SYSTEM
176,12.682238,49.210905,0,Chammünster Gewerbepark,SYSTEM
177,12.681412,49.210532,0,Chammünster Gewerbepark,SYSTEM
